,Year,Enrolling District Number,Enrolling District Type,Enrolling District,Count of Open Enrolled,Resident District Number,Resident District Type,Resident District
979,23-24,271.0,1.0,Bloomington Public School District,3.0,834.0,1.0,Stillwater Area Public Schools
980,23-24,271.0,1.0,Bloomington Public School District,1.0,877.0,1.0,Buffalo-Hanover-Montrose Schools
981,23-24,271.0,1.0,Bloomington Public School District,2.0,882.0,1.0,Monticello Public School District
982,23-24,271.0,1.0,Bloomington Public School District,2.0,2142.0,1.0,St. Louis County School District
983,23-24,271.0,1.0,Bloomington Public School District,1.0,2144.0,1.0,Chisago Lakes School District
984,23-24,271.0,1.0,Bloomington Public School District,3.0,2711.0,1.0,Mesabi East School District
985,23-24,271.0,1.0,Bloomington Public School District,1.0,2859.0,1.0,Glencoe-Silver Lake School District
986,23-24,271.0,1.0,Bloomington Public School District,1.0,2860.0,1.0,Blue Earth Area School District
987,23-24,272.0,1.0,Eden Prairie Public School District,158.0,1.0,3.0,Minneapolis Public School District
988,23-24,272.0,1.0,Eden Prairie Public School District,38.0,11.0,1.0,Anoka-Hennepin Public School District
989,23-24,272.0,1.0,Eden Prairie Public School District,1.0,12.0,1.0,Centennial Public School District
990,23-24,272.0,1.0,Eden Prairie Public School District,6.0,13.0,1.0,Columbia Heights Public School District
991,23-24,272.0,1.0,Eden Prairie Public School District,2.0,14.0,1.0,Fridley Public School District
992,23-24,272.0,1.0,Eden Prairie Public School District,1.0,15.0,1.0,St. Francis Area Schools
993,23-24,272.0,1.0,Eden Prairie Public School District,3.0,22.0,1.0,Detroit Lakes Public School District
994,23-24,272.0,1.0,Eden Prairie Public School District,1.0,47.0,1.0,Sauk Rapids-Rice Public Schools
995,23-24,272.0,1.0,Eden Prairie Public School District,3.0,77.0,1.0,Mankato Public School District
996,23-24,272.0,1.0,Eden Prairie Public School District,1.0,88.0,1.0,New Ulm Public School District
997,23-24,272.0,1.0,Eden Prairie Public School District,1.0,97.0,1.0,Moose Lake Public School District
998,23-24,272.0,1.0,Eden Prairie Public School District,9.0,110.0,1.0,Waconia Public School District
999,23-24,272.0,1.0,Eden Prairie Public School District,2.0,111.0,1.0,Watertown-Mayer Public School District
1000,23-24,272.0,1.0,Eden Prairie Public School District,204.0,112.0,1.0,Eastern Carver County Public Schools
1001,23-24,272.0,1.0,Eden Prairie Public School District,2.0,113.0,1.0,Walker-Hackensack-Akeley School District
1002,23-24,272.0,1.0,Eden Prairie Public School District,3.0,139.0,1.0,Rush City Public School District
1003,23-24,272.0,1.0,Eden Prairie Public School District,5.0,152.0,1.0,Moorhead Area Public School District
1004,23-24,272.0,1.0,Eden Prairie Public School District,2.0,181.0,1.0,Brainerd Public School District
1005,23-24,272.0,1.0,Eden Prairie Public School District,1.0,182.0,1.0,Crosby-Ironton Public School District
1006,23-24,272.0,1.0,Eden Prairie Public School District,41.0,191.0,1.0,Burnsville-Eagan-Savage School District
1007,23-24,272.0,1.0,Eden Prairie Public School District,8.0,192.0,1.0,Farmington Public School District
1008,23-24,272.0,1.0,Eden Prairie Public School District,4.0,194.0,1.0,Lakeville Area Schools
1009,23-24,272.0,1.0,Eden Prairie Public School District,11.0,196.0,1.0,Rosemount-Apple Valley-Eagan
1010,23-24,272.0,1.0,Eden Prairie Public School District,8.0,197.0,1.0,West St. Paul-Mendota Heights-Eagan
1011,23-24,272.0,1.0,Eden Prairie Public School District,2.0,241.0,1.0,Albert Lea Public School District
1012,23-24,272.0,1.0,Eden Prairie Public School District,109.0,270.0,1.0,Hopkins Public School District
1013,23-24,272.0,1.0,Eden Prairie Public School District,99.0,271.0,1.0,Bloomington Public School District
1014,23-24,272.0,1.0,Eden Prairie Public School District,16.0,273.0,1.0,Edina Public School District
1015,23-24,272.0,1.0,Eden Prairie Public School District,43.0,276.0,1.0,Minnetonka Public School District
1016,23-24,272.0,1.0,Eden Prairie Public School District,4.0,277.0,1.0,Westonka Public School District
1017,23-24,272.0,1.0,Eden Prairie Public School District,1.0,278.0,1.0,Orono Public School District
1018,23-24,272.0,1.0,Eden Prairie Public School District,22.0,279.0,1.0,Osseo Public School District
1019,23-24,272.0,1.0,Eden Prairie Public School District,14.0,280.0,1.0,Richfield Public School District
1020,23-24,272.0,1.0,Eden Prairie Public School District,15.0,281.0,1.0,Robbinsdale Public School District
1021,23-24,272.0,1.0,Eden Prairie Public School District,14.0,283.0,1.0,St. Louis Park Public School District
1022,23-24,272.0,1.0,Eden Prairie Public School District,10.0,284.0,1.0,Wayzata Public School District
1023,23-24,272.0,1.0,Eden Prairie Public School District,1.0,286.0,1.0,Brooklyn Center Community Schools
1024,23-24,272.0,1.0,Eden Prairie Public School District,1.0,300.0,1.0,La Crescent-Hokah School District
1025,23-24,272.0,1.0,Eden Prairie Public School District,1.0,309.0,1.0,Park Rapids Public School District
1026,23-24,272.0,1.0,Eden Prairie Public School District,1.0,318.0,1.0,Grand Rapids Public School District
1027,23-24,272.0,1.0,Eden Prairie Public School District,2.0,319.0,1.0,Nashwauk-Keewatin School District
1028,23-24,272.0,1.0,Eden Prairie Public School District,2.0,332.0,1.0,Mora Public School District
1029,23-24,272.0,1.0,Eden Prairie Public School District,1.0,413.0,1.0,Marshall Public School District
1030,23-24,272.0,1.0,Eden Prairie Public School District,1.0,492.0,1.0,Austin Public School District
1031,23-24,272.0,1.0,Eden Prairie Public School District,1.0,534.0,1.0,Stewartville Public School District
1032,23-24,272.0,1.0,Eden Prairie Public School District,5.0,535.0,1.0,Rochester Public School District
1033,23-24,272.0,1.0,Eden Prairie Public School District,1.0,577.0,1.0,Willow River Public School District
1034,23-24,272.0,1.0,Eden Prairie Public School District,1.0,578.0,1.0,Pine City Public School District
1035,23-24,272.0,1.0,Eden Prairie Public School District,3.0,599.0,1.0,Fertile-Beltrami School District
1036,23-24,272.0,1.0,Eden Prairie Public School District,3.0,621.0,1.0,Mounds View Public School District
1037,23-24,272.0,1.0,Eden Prairie Public School District,13.0,622.0,1.0,North St. Paul-Maplewood Oakdale Public School District
1038,23-24,272.0,1.0,Eden Prairie Public School District,2.0,623.0,1.0,Roseville Public School District
1039,23-24,272.0,1.0,Eden Prairie Public School District,13.0,625.0,1.0,Saint Paul Public Schools
1040,23-24,272.0,1.0,Eden Prairie Public School District,1.0,656.0,1.0,Faribault Public School District
1041,23-24,272.0,1.0,Eden Prairie Public School District,2.0,659.0,1.0,Northfield Public School District
1042,23-24,272.0,1.0,Eden Prairie Public School District,1.0,682.0,1.0,Roseau Public School District
1043,23-24,272.0,1.0,Eden Prairie Public School District,2.0,709.0,1.0,Duluth Public School District
1044,23-24,272.0,1.0,Eden Prairie Public School District,12.0,716.0,1.0,Belle Plaine Public School District
1045,23-24,272.0,1.0,Eden Prairie Public School District,4.0,717.0,1.0,Jordan Public School District
1046,23-24,272.0,1.0,Eden Prairie Public School District,25.0,719.0,1.0,Prior Lake-Savage Area Schools
1047,23-24,272.0,1.0,Eden Prairie Public School District,140.0,720.0,1.0,Shakopee Public School District
1048,23-24,272.0,1.0,Eden Prairie Public School District,7.0,721.0,1.0,New Prague Area Schools
1049,23-24,272.0,1.0,Eden Prairie Public School District,2.0,728.0,1.0,Elk River Public School District
1050,23-24,272.0,1.0,Eden Prairie Public School District,5.0,742.0,1.0,St. Cloud Public School District
1051,23-24,272.0,1.0,Eden Prairie Public School District,3.0,748.0,1.0,Sartell-St. Stephen School District
1052,23-24,272.0,1.0,Eden Prairie Public School District,1.0,750.0,1.0,ROCORI Public School District
1053,23-24,272.0,1.0,Eden Prairie Public School District,5.0,831.0,1.0,Forest Lake Public School District
1054,23-24,272.0,1.0,Eden Prairie Public School District,16.0,833.0,1.0,South Washington County Schools
1055,23-24,272.0,1.0,Eden Prairie Public School District,2.0,834.0,1.0,Stillwater Area Public Schools
1056,23-24,272.0,1.0,Eden Prairie Public School District,1.0,877.0,1.0,Buffalo-Hanover-Montrose Schools
1057,23-24,272.0,1.0,Eden Prairie Public School District,2.0,879.0,1.0,Delano Public School District
1058,23-24,272.0,1.0,Eden Prairie Public School District,4.0,883.0,1.0,Rockford Public School District
1059,23-24,272.0,1.0,Eden Prairie Public School District,1.0,911.0,1.0,Cambridge-Isanti Public School District
1060,23-24,272.0,1.0,Eden Prairie Public School District,1.0,912.0,1.0,Milaca Public School District
1061,23-24,272.0,1.0,Eden Prairie Public School District,3.0,2134.0,1.0,United South Central School District
1062,23-24,272.0,1.0,Eden Prairie Public School District,1.0,2135.0,1.0,Maple River School District
1063,23-24,272.0,1.0,Eden Prairie Public School District,4.0,2142.0,1.0,St. Louis County School District
1064,23-24,272.0,1.0,Eden Prairie Public School District,1.0,2155.0,1.0,Wadena-Deer Creek School District
1065,23-24,272.0,1.0,Eden Prairie Public School District,1.0,2397.0,1.0,Le Sueur-Henderson School District
1066,23-24,272.0,1.0,Eden Prairie Public School District,5.0,2753.0,1.0,Long Prairie-Grey Eagle School District
1067,23-24,272.0,1.0,Eden Prairie Public School District,1.0,2835.0,1.0,Janesville-Waldorf-Pemberton
1068,23-24,272.0,1.0,Eden Prairie Public School District,1.0,2859.0,1.0,Glencoe-Silver Lake School District
1069,23-24,272.0,1.0,Eden Prairie Public School District,1.0,2897.0,1.0,Redwood Area School District
1070,23-24,273.0,1.0,Edina Public School District,816.0,1.0,3.0,Minneapolis Public School District
1071,23-24,273.0,1.0,Edina Public School District,4.0,11.0,1.0,Anoka-Hennepin Public School District
1072,23-24,273.0,1.0,Edina Public School District,4.0,14.0,1.0,Fridley Public School District
1073,23-24,273.0,1.0,Edina Public School District,1.0,111.0,1.0,Watertown-Mayer Public School District
1074,23-24,273.0,1.0,Edina Public School District,7.0,112.0,1.0,Eastern Carver County Public Schools
1075,23-24,273.0,1.0,Edina Public School District,43.0,191.0,1.0,Burnsville-Eagan-Savage School District
1076,23-24,273.0,1.0,Edina Public School District,1.0,192.0,1.0,Farmington Public School District
1077,23-24,273.0,1.0,Edina Public School District,6.0,194.0,1.0,Lakeville Area Schools
1078,23-24,273.0,1.0,Edina Public School District,10.0,196.0,1.0,Rosemount-Apple Valley-Eagan
1079,23-24,273.0,1.0,Edina Public School District,240.0,270.0,1.0,Hopkins Public School District
1080,23-24,273.0,1.0,Edina Public School District,165.0,271.0,1.0,Bloomington Public School District
1081,23-24,273.0,1.0,Edina Public School District,76.0,272.0,1.0,Eden Prairie Public School District
1082,23-24,273.0,1.0,Edina Public School District,13.0,276.0,1.0,Minnetonka Public School District
1083,23-24,273.0,1.0,Edina Public School District,1.0,277.0,1.0,Westonka Public School District
1084,23-24,273.0,1.0,Edina Public School District,9.0,279.0,1.0,Osseo Public School District
1085,23-24,273.0,1.0,Edina Public School District,260.0,280.0,1.0,Richfield Public School District
1086,23-24,273.0,1.0,Edina Public School District,30.0,281.0,1.0,Robbinsdale Public School District
1087,23-24,273.0,1.0,Edina Public School District,115.0,283.0,1.0,St. Louis Park Public School District
1088,23-24,273.0,1.0,Edina Public School District,6.0,284.0,1.0,Wayzata Public School District
1089,23-24,273.0,1.0,Edina Public School District,3.0,286.0,1.0,Brooklyn Center Community Schools
1090,23-24,273.0,1.0,Edina Public School District,1.0,535.0,1.0,Rochester Public School District
1091,23-24,273.0,1.0,Edina Public School District,2.0,621.0,1.0,Mounds View Public School District
1092,23-24,273.0,1.0,Edina Public School District,10.0,625.0,1.0,Saint Paul Public Schools
1093,23-24,273.0,1.0,Edina Public School District,5.0,719.0,1.0,Prior Lake-Savage Area Schools
1094,23-24,273.0,1.0,Edina Public School District,23.0,720.0,1.0,Shakopee Public School District
1095,23-24,273.0,1.0,Edina Public School District,2.0,761.0,1.0,Owatonna Public School District
1096,23-24,276.0,1.0,Minnetonka Public School District,1.0,1.0,1.0,Aitkin Public School District
1097,23-24,276.0,1.0,Minnetonka Public School District,160.0,1.0,3.0,Minneapolis Public School District
1098,23-24,276.0,1.0,Minnetonka Public School District,18.0,11.0,1.0,Anoka-Hennepin Public School District
1099,23-24,276.0,1.0,Minnetonka Public School District,2.0,12.0,1.0,Centennial Public School District
1100,23-24,276.0,1.0,Minnetonka Public School District,3.0,13.0,1.0,Columbia Heights Public School District
1101,23-24,276.0,1.0,Minnetonka Public School District,2.0,15.0,1.0,St. Francis Area Schools
1102,23-24,276.0,1.0,Minnetonka Public School District,5.0,16.0,1.0,Spring Lake Park Public Schools
1103,23-24,276.0,1.0,Minnetonka Public School District,1.0,97.0,1.0,Moose Lake Public School District
1104,23-24,276.0,1.0,Minnetonka Public School District,1.0,99.0,1.0,Esko Public School District
1105,23-24,276.0,1.0,Minnetonka Public School District,5.0,108.0,1.0,Central Public School District
1106,23-24,276.0,1.0,Minnetonka Public School District,154.0,110.0,1.0,Waconia Public School District
1107,23-24,276.0,1.0,Minnetonka Public School District,16.0,111.0,1.0,Watertown-Mayer Public School District
1108,23-24,276.0,1.0,Minnetonka Public School District,929.0,112.0,1.0,Eastern Carver County Public Schools
1109,23-24,276.0,1.0,Minnetonka Public School District,1.0,181.0,1.0,Brainerd Public School District
1110,23-24,276.0,1.0,Minnetonka Public School District,18.0,191.0,1.0,Burnsville-Eagan-Savage School District
1111,23-24,276.0,1.0,Minnetonka Public School District,1.0,194.0,1.0,Lakeville Area Schools
1112,23-24,276.0,1.0,Minnetonka Public School District,8.0,196.0,1.0,Rosemount-Apple Valley-Eagan
1113,23-24,276.0,1.0,Minnetonka Public School District,1.0,197.0,1.0,West St. Paul-Mendota Heights-Eagan
1114,23-24,276.0,1.0,Minnetonka Public School District,1.0,200.0,1.0,Hastings Public School District
1115,23-24,276.0,1.0,Minnetonka Public School District,3.0,256.0,1.0,Red Wing Public School District
1116,23-24,276.0,1.0,Minnetonka Public School District,1190.0,270.0,1.0,Hopkins Public School District
1117,23-24,276.0,1.0,Minnetonka Public School District,32.0,271.0,1.0,Bloomington Public School District
1118,23-24,276.0,1.0,Minnetonka Public School District,555.0,272.0,1.0,Eden Prairie Public School District
1119,23-24,276.0,1.0,Minnetonka Public School District,43.0,273.0,1.0,Edina Public School District
1120,23-24,276.0,1.0,Minnetonka Public School District,304.0,277.0,1.0,Westonka Public School District
1121,23-24,276.0,1.0,Minnetonka Public School District,32.0,278.0,1.0,Orono Public School District
1122,23-24,276.0,1.0,Minnetonka Public School District,124.0,279.0,1.0,Osseo Public School District
1123,23-24,276.0,1.0,Minnetonka Public School District,10.0,280.0,1.0,Richfield Public School District
1124,23-24,276.0,1.0,Minnetonka Public School District,138.0,281.0,1.0,Robbinsdale Public School District
1125,23-24,276.0,1.0,Minnetonka Public School District,4.0,282.0,1.0,St. Anthony-New Brighton Schools
1126,23-24,276.0,1.0,Minnetonka Public School District,132.0,283.0,1.0,St. Louis Park Public School District
1127,23-24,276.0,1.0,Minnetonka Public School District,244.0,284.0,1.0,Wayzata Public School District
1128,23-24,276.0,1.0,Minnetonka Public School District,3.0,286.0,1.0,Brooklyn Center Community Schools
1129,23-24,276.0,1.0,Minnetonka Public School District,1.0,318.0,1.0,Grand Rapids Public School District
1130,23-24,276.0,1.0,Minnetonka Public School District,1.0,333.0,1.0,Ogilvie Public School District
1131,23-24,276.0,1.0,Minnetonka Public School District,3.0,423.0,1.0,Hutchinson Public School District
1132,23-24,276.0,1.0,Minnetonka Public School District,7.0,621.0,1.0,Mounds View Public School District
1133,23-24,276.0,1.0,Minnetonka Public School District,1.0,622.0,1.0,North St. Paul-Maplewood Oakdale Public School District
1134,23-24,276.0,1.0,Minnetonka Public School District,2.0,623.0,1.0,Roseville Public School District
1135,23-24,276.0,1.0,Minnetonka Public School District,4.0,624.0,1.0,White Bear Lake School District
1136,23-24,276.0,1.0,Minnetonka Public School District,4.0,625.0,1.0,Saint Paul Public Schools
1137,23-24,276.0,1.0,Minnetonka Public School District,2.0,659.0,1.0,Northfield Public School District
1138,23-24,276.0,1.0,Minnetonka Public School District,1.0,709.0,1.0,Duluth Public School District
1139,23-24,276.0,1.0,Minnetonka Public School District,1.0,716.0,1.0,Belle Plaine Public School District
1140,23-24,276.0,1.0,Minnetonka Public School District,2.0,717.0,1.0,Jordan Public School District
1141,23-24,276.0,1.0,Minnetonka Public School District,13.0,719.0,1.0,Prior Lake-Savage Area Schools
1142,23-24,276.0,1.0,Minnetonka Public School District,52.0,720.0,1.0,Shakopee Public School District
1143,23-24,276.0,1.0,Minnetonka Public School District,7.0,728.0,1.0,Elk River Public School District
1144,23-24,276.0,1.0,Minnetonka Public School District,2.0,742.0,1.0,St. Cloud Public School District
1145,23-24,276.0,1.0,Minnetonka Public School District,1.0,818.0,1.0,Verndale Public School District
1146,23-24,276.0,1.0,Minnetonka Public School District,3.0,831.0,1.0,Forest Lake Public School District
1147,23-24,276.0,1.0,Minnetonka Public School District,2.0,833.0,1.0,South Washington County Schools
1148,23-24,276.0,1.0,Minnetonka Public School District,5.0,834.0,1.0,Stillwater Area Public Schools
1149,23-24,276.0,1.0,Minnetonka Public School District,1.0,876.0,1.0,Annandale Public School District
1150,23-24,276.0,1.0,Minnetonka Public School District,4.0,877.0,1.0,Buffalo-Hanover-Montrose Schools
1151,23-24,276.0,1.0,Minnetonka Public School District,12.0,879.0,1.0,Delano Public School District
1152,23-24,276.0,1.0,Minnetonka Public School District,1.0,882.0,1.0,Monticello Public School District
1153,23-24,276.0,1.0,Minnetonka Public School District,6.0,883.0,1.0,Rockford Public School District
1154,23-24,276.0,1.0,Minnetonka Public School District,1.0,885.0,1.0,St. Michael-Albertville School District
1155,23-24,276.0,1.0,Minnetonka Public School District,1.0,2144.0,1.0,Chisago Lakes School District
1156,23-24,276.0,1.0,Minnetonka Public School District,2.0,2905.0,1.0,Tri-City United School District
1157,23-24,277.0,1.0,Westonka Public School District,1.0,1.0,3.0,Minneapolis Public School District
1158,23-24,277.0,1.0,Westonka Public School District,226.0,110.0,1.0,Waconia Public School District
1159,23-24,277.0,1.0,Westonka Public School District,85.0,111.0,1.0,Watertown-Mayer Public School District
1160,23-24,277.0,1.0,Westonka Public School District,4.0,112.0,1.0,Eastern Carver County Public Schools
1161,23-24,277.0,1.0,Westonka Public School District,5.0,270.0,1.0,Hopkins Public School District
1162,23-24,277.0,1.0,Westonka Public School District,4.0,272.0,1.0,Eden Prairie Public School District
1163,23-24,277.0,1.0,Westonka Public School District,12.0,276.0,1.0,Minnetonka Public School District
1164,23-24,277.0,1.0,Westonka Public School District,24.0,278.0,1.0,Orono Public School District
1165,23-24,277.0,1.0,Westonka Public School District,3.0,279.0,1.0,Osseo Public School District
1166,23-24,277.0,1.0,Westonka Public School District,1.0,281.0,1.0,Robbinsdale Public School District
1167,23-24,277.0,1.0,Westonka Public School District,2.0,284.0,1.0,Wayzata Public School District
1168,23-24,277.0,1.0,Westonka Public School District,1.0,717.0,1.0,Jordan Public School District
1169,23-24,277.0,1.0,Westonka Public School District,4.0,877.0,1.0,Buffalo-Hanover-Montrose Schools
1170,23-24,277.0,1.0,Westonka Public School District,10.0,879.0,1.0,Delano Public School District
1171,23-24,277.0,1.0,Westonka Public School District,2.0,883.0,1.0,Rockford Public School District
1172,23-24,278.0,1.0,Orono Public School District,3.0,1.0,3.0,Minneapolis Public School District
1173,23-24,278.0,1.0,Orono Public School District,5.0,11.0,1.0,Anoka-Hennepin Public School District
1174,23-24,278.0,1.0,Orono Public School District,1.0,13.0,1.0,Columbia Heights Public School District
1175,23-24,278.0,1.0,Orono Public School District,12.0,111.0,1.0,Watertown-Mayer Public School District
1176,23-24,278.0,1.0,Orono Public School District,4.0,112.0,1.0,Eastern Carver County Public Schools
1177,23-24,278.0,1.0,Orono Public School District,12.0,270.0,1.0,Hopkins Public School District
1178,23-24,278.0,1.0,Orono Public School District,2.0,272.0,1.0,Eden Prairie Public School District
1179,23-24,278.0,1.0,Orono Public School District,2.0,273.0,1.0,Edina Public School District
1180,23-24,278.0,1.0,Orono Public School District,9.0,276.0,1.0,Minnetonka Public School District
1181,23-24,278.0,1.0,Orono Public School District,291.0,277.0,1.0,Westonka Public School District
1182,23-24,278.0,1.0,Orono Public School District,58.0,279.0,1.0,Osseo Public School District
1183,23-24,278.0,1.0,Orono Public School District,1.0,280.0,1.0,Richfield Public School District
1184,23-24,278.0,1.0,Orono Public School District,40.0,281.0,1.0,Robbinsdale Public School District
1185,23-24,278.0,1.0,Orono Public School District,2.0,283.0,1.0,St. Louis Park Public School District
1186,23-24,278.0,1.0,Orono Public School District,303.0,284.0,1.0,Wayzata Public School District
1187,23-24,278.0,1.0,Orono Public School District,2.0,625.0,1.0,Saint Paul Public Schools
1188,23-24,278.0,1.0,Orono Public School District,2.0,876.0,1.0,Annandale Public School District
1189,23-24,278.0,1.0,Orono Public School District,16.0,877.0,1.0,Buffalo-Hanover-Montrose Schools
1190,23-24,278.0,1.0,Orono Public School District,102.0,879.0,1.0,Delano Public School District
1191,23-24,278.0,1.0,Orono Public School District,45.0,883.0,1.0,Rockford Public School District
1192,23-24,278.0,1.0,Orono Public School District,4.0,885.0,1.0,St. Michael-Albertville School District
1193,23-24,278.0,1.0,Orono Public School District,1.0,2687.0,1.0,Howard Lake-Waverly-Winsted
1194,23-24,279.0,1.0,Osseo Public School District,177.0,1.0,3.0,Minneapolis Public School District
1195,23-24,279.0,1.0,Osseo Public School District,524.0,11.0,1.0,Anoka-Hennepin Public School District
1196,23-24,279.0,1.0,Osseo Public School District,3.0,12.0,1.0,Centennial Public School District
1197,23-24,279.0,1.0,Osseo Public School District,9.0,13.0,1.0,Columbia Heights Public School District
1198,23-24,279.0,1.0,Osseo Public School District,13.0,14.0,1.0,Fridley Public School District
1199,23-24,279.0,1.0,Osseo Public School District,6.0,15.0,1.0,St. Francis Area Schools
1200,23-24,279.0,1.0,Osseo Public School District,10.0,16.0,1.0,Spring Lake Park Public Schools
1201,23-24,279.0,1.0,Osseo Public School District,2.0,112.0,1.0,Eastern Carver County Public Schools
1202,23-24,279.0,1.0,Osseo Public School District,2.0,138.0,1.0,North Branch Area Public Schools
1203,23-24,279.0,1.0,Osseo Public School District,3.0,191.0,1.0,Burnsville-Eagan-Savage School District
1204,23-24,279.0,1.0,Osseo Public School District,2.0,194.0,1.0,Lakeville Area Schools
1205,23-24,279.0,1.0,Osseo Public School District,3.0,196.0,1.0,Rosemount-Apple Valley-Eagan
1206,23-24,279.0,1.0,Osseo Public School District,2.0,199.0,1.0,Inver Grove Heights Schools
1207,23-24,279.0,1.0,Osseo Public School District,1.0,206.0,1.0,Alexandria Public School District
1208,23-24,279.0,1.0,Osseo Public School District,1.0,213.0,1.0,Osakis Public School District
1209,23-24,279.0,1.0,Osseo Public School District,1.0,270.0,1.0,Hopkins Public School District
1210,23-24,279.0,1.0,Osseo Public School District,1.0,272.0,1.0,Eden Prairie Public School District
1211,23-24,279.0,1.0,Osseo Public School District,3.0,276.0,1.0,Minnetonka Public School District
1212,23-24,279.0,1.0,Osseo Public School District,1.0,277.0,1.0,Westonka Public School District
1213,23-24,279.0,1.0,Osseo Public School District,1.0,278.0,1.0,Orono Public School District
1214,23-24,279.0,1.0,Osseo Public School District,314.0,281.0,1.0,Robbinsdale Public School District
1215,23-24,279.0,1.0,Osseo Public School District,2.0,282.0,1.0,St. Anthony-New Brighton Schools
1216,23-24,279.0,1.0,Osseo Public School District,1.0,283.0,1.0,St. Louis Park Public School District
1217,23-24,279.0,1.0,Osseo Public School District,31.0,284.0,1.0,Wayzata Public School District
1218,23-24,279.0,1.0,Osseo Public School District,180.0,286.0,1.0,Brooklyn Center Community Schools
1219,23-24,279.0,1.0,Osseo Public School District,8.0,621.0,1.0,Mounds View Public School District
1220,23-24,279.0,1.0,Osseo Public School District,3.0,622.0,1.0,North St. Paul-Maplewood Oakdale Public School District
1221,23-24,279.0,1.0,Osseo Public School District,1.0,623.0,1.0,Roseville Public School District
1222,23-24,279.0,1.0,Osseo Public School District,2.0,624.0,1.0,White Bear Lake School District
1223,23-24,279.0,1.0,Osseo Public School District,9.0,625.0,1.0,Saint Paul Public Schools
1224,23-24,279.0,1.0,Osseo Public School District,1.0,720.0,1.0,Shakopee Public School District
1225,23-24,279.0,1.0,Osseo Public School District,2.0,727.0,1.0,Big Lake Public School District
1226,23-24,279.0,1.0,Osseo Public School District,58.0,728.0,1.0,Elk River Public School District
1227,23-24,279.0,1.0,Osseo Public School District,5.0,742.0,1.0,St. Cloud Public School District
1228,23-24,279.0,1.0,Osseo Public School District,1.0,831.0,1.0,Forest Lake Public School District
1229,23-24,279.0,1.0,Osseo Public School District,24.0,877.0,1.0,Buffalo-Hanover-Montrose Schools
1230,23-24,279.0,1.0,Osseo Public School District,1.0,881.0,1.0,Maple Lake Public School District
1231,23-24,279.0,1.0,Osseo Public School District,3.0,882.0,1.0,Monticello Public School District
1232,23-24,279.0,1.0,Osseo Public School District,34.0,883.0,1.0,Rockford Public School District
1233,23-24,279.0,1.0,Osseo Public School District,9.0,885.0,1.0,St. Michael-Albertville School District
1234,23-24,279.0,1.0,Osseo Public School District,2.0,911.0,1.0,Cambridge-Isanti Public School District
1235,23-24,279.0,1.0,Osseo Public School District,1.0,2149.0,1.0,Minnewaska School District
1236,23-24,279.0,1.0,Osseo Public School District,1.0,2888.0,1.0,Clinton-Graceville-Beardsley
1237,23-24,280.0,1.0,Richfield Public School District,264.0,1.0,3.0,Minneapolis Public School District
1238,23-24,280.0,1.0,Richfield Public School District,5.0,6.0,3.0,South St. Paul Public School District
1239,23-24,280.0,1.0,Richfield Public School District,2.0,11.0,1.0,Anoka-Hennepin Public School District
1240,23-24,280.0,1.0,Richfield Public School District,2.0,14.0,1.0,Fridley Public School District
1241,23-24,280.0,1.0,Richfield Public School District,50.0,191.0,1.0,Burnsville-Eagan-Savage School District
1242,23-24,280.0,1.0,Richfield Public School District,7.0,192.0,1.0,Farmington Public School District
1243,23-24,280.0,1.0,Richfield Public School District,11.0,194.0,1.0,Lakeville Area Schools
1244,23-24,280.0,1.0,Richfield Public School District,23.0,196.0,1.0,Rosemount-Apple Valley-Eagan
1245,23-24,280.0,1.0,Richfield Public School District,3.0,197.0,1.0,West St. Paul-Mendota Heights-Eagan
1246,23-24,280.0,1.0,Richfield Public School District,3.0,199.0,1.0,Inver Grove Heights Schools
1247,23-24,280.0,1.0,Richfield Public School District,1.0,200.0,1.0,Hastings Public School District
1248,23-24,280.0,1.0,Richfield Public School District,5.0,270.0,1.0,Hopkins Public School District
1249,23-24,280.0,1.0,Richfield Public School District,241.0,271.0,1.0,Bloomington Public School District
1250,23-24,280.0,1.0,Richfield Public School District,4.0,272.0,1.0,Eden Prairie Public School District
1251,23-24,280.0,1.0,Richfield Public School District,29.0,273.0,1.0,Edina Public School District
1252,23-24,280.0,1.0,Richfield Public School District,9.0,279.0,1.0,Osseo Public School District
1253,23-24,280.0,1.0,Richfield Public School District,7.0,281.0,1.0,Robbinsdale Public School District
1254,23-24,280.0,1.0,Richfield Public School District,3.0,283.0,1.0,St. Louis Park Public School District
1255,23-24,280.0,1.0,Richfield Public School District,1.0,284.0,1.0,Wayzata Public School District
1256,23-24,280.0,1.0,Richfield Public School District,1.0,286.0,1.0,Brooklyn Center Community Schools
1257,23-24,280.0,1.0,Richfield Public School District,1.0,621.0,1.0,Mounds View Public School District
1258,23-24,280.0,1.0,Richfield Public School District,1.0,622.0,1.0,North St. Paul-Maplewood Oakdale Public School District
1259,23-24,280.0,1.0,Richfield Public School District,2.0,623.0,1.0,Roseville Public School District
1260,23-24,280.0,1.0,Richfield Public School District,7.0,625.0,1.0,Saint Paul Public Schools
1261,23-24,280.0,1.0,Richfield Public School District,3.0,719.0,1.0,Prior Lake-Savage Area Schools
1262,23-24,280.0,1.0,Richfield Public School District,1.0,720.0,1.0,Shakopee Public School District
1263,23-24,280.0,1.0,Richfield Public School District,2.0,833.0,1.0,South Washington County Schools
1264,23-24,280.0,1.0,Richfield Public School District,2.0,883.0,1.0,Rockford Public School District
